normalizedIngredient,occurrences,sourceCount,recipeCount,beforeMapped,afterExactProduct,afterFamilyResolved,afterProcessInput,afterAmbiguous,afterProductGap,resolutionState,candidateFamily,reason,recommendedNextAction
"кукурузная мука","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кукурузные тортильи","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кукурузный крахмал","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кумин","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"кунжутное масло","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"купаты","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"курага","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","курага","exact canonical product","none"
"куриная грудка или филе","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"куриное яйцо крупное","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"куриные бедрышки","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"куриные голени","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"куриный бульон","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","бульон","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"курица бройлерная","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лавровый лист по желанию","1","0","0","0","0","0","1","0","0","PROCESS_INPUT","лавровый лист по желанию","process ingredient remains in accounting","none"
"лапша удон","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лимонная или апельсиновая цедра","1","1","1","0","0","0","0","0","0","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar","retain family and resolve form only with explicit evidence"
"листья виноградные","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лосось","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","лосось","exact canonical product","none"
"лук зеленый мелко нарезанный","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лук зеленый нарезанный","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лук некрупный","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"лук репчатый некрупный","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"луковица","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"майонез или сметана","1","1","1","0","0","0","0","0","0","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar","retain family and resolve form only with explicit evidence"
"майонез по вкусу","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","майонез","exact canonical product","none"
"мак пищевой","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"макароны","1","1","2","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","макароны","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"макароны сухие","1","0","0","1","1","0","0","0","0","EXACT_PRODUCT","макароны сухие","exact canonical product","none"
"мандариновая цедра","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"манная крупа 2 ст.л","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"маргарин для смазывания противня","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"маринованные огурцы","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"маринованные огурцы по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"маршмеллоу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"маслины по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло грецкого ореха","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло для жарки желательно оливковое","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло желательно топленое","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло канолы","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло кунжутное","1","1","2","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло кунжутное растительное","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло оливковое","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло подсолнечное для жарки","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло растительное для обжарки","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло растительное или сливочное","1","1","1","0","0","0","0","0","0","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar","retain family and resolve form only with explicit evidence"
"масло растительное рафинированное","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло растительное сливочное","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло растительное у меня оливковое","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло расторопши","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло сливочное 82","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","масло сливочное","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"масло сливочное для жарки","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло сливочное для смазывания формы","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мацони","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мед по вкусу","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","мед","exact canonical product","none"
"микросалат","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"минтай","1","2","2","1","1","0","0","0","0","EXACT_PRODUCT","минтай","exact canonical product","none"
"минтай филе","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"молоко жирностью 3","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"молотая корица щепотка","1","1","1","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"молотый кориандр","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"молотый красный перец","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"молотый красный перец по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"молотый мускатный орех щепотка","1","1","1","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"молотый перец чили по вкусу","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","перец чили","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"молочный шоколад","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"морковь некрупная","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"морковь по корейски","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"морская соль щепотка","1","1","1","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"мраморная говядина","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мука амаранта","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мука для обваливания","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мука для пасты","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мука кукурузная","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","мука кукурузная","exact canonical product","none"
"мука овсяная пшеничная","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мускатный орех молотый","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","мускатный орех","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"мякоть авокадо","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мясной бульон","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мясные полуфабрикаты","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мясо","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"мясо криля","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"нори морские водоросли","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"нут","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"обезжиренная пахта","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"обезжиренный кефир","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"обезжиренный творог","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"овечий сыр","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"огурец свежий","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","огурец","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"огурцы соленые","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"оливки без косточек","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"оливковое масло extra virgin по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"орегано","1","2","2","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","орегано","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"орегано сухой","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"орегано сушеное","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"орегано щепотка","1","1","1","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"орехи","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"орехи грецкие","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"острая горчица","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"охотничьи колбаски","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"панировочные сухари из белого хлеба","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"паприка по вкусу","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","паприка","exact canonical product","none"
"паприка сладкая молотая","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"паста","1","2","2","1","1","0","0","0","0","EXACT_PRODUCT","паста","exact canonical product","none"
"паста каннеллони","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"паста по вкусу","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","паста","exact canonical product","none"
"паста спагетти","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"паста тальятелле","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"паста фузилли","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"пекан","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"пекинская капуста","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец белый горошком","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец красный и черный","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец красный молотый","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец молотый смесь","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец свежемолотый смесь перцев","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец сладкий красный","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец черный молотый для подачи","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец чили свежий","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","перец чили","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"перловая крупа","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перловка","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","перловка","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"петрушка зелень","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"петрушка свежая для подачи по желанию","1","0","0","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"петрушка свежая зелень","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"плавленые сырки","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"поваренная соль","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"помидоры пелати","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"помидоры свежие","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"порошок асаи","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"приправа","1","1","1","0","0","0","1","0","0","PROCESS_INPUT","приправа","process ingredient remains in accounting","none"
"приправа для рыбы","1","1","1","0","0","0","1","0","0","PROCESS_INPUT","приправа для рыбы","process ingredient remains in accounting","none"
"прованские травы по вкусу","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"пропаренный рис","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"пюре гороховое","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"разрыхлитель теста","1","1","1","0","0","0","1","0","0","PROCESS_INPUT","разрыхлитель теста","process ingredient remains in accounting","none"
"растительное масло для жарки","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"растительное масло для фритюра","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"растительные сливки","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рафинированное масло для жарки","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рафинированное оливковое масло","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"ребрышки свиные","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"редис","1","1","1","1","1","0","0","0","0","EXACT_PRODUCT","редис","exact canonical product","none"
"ржаной хлеб каравай","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рис для ризотто","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рис круглозерный","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рис круглый непропаренный","1","1","1","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"розмарин сушеный","1","1","1","1","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","розмарин","exact accepted form-specific product","none"
"российский сыр","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рубленая кинза кориандр","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рукола","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рыба у меня филе трески","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рыбный бульон из рыбных косточек и обрезков или вода","1","0","0","0","0","0","0","0","0","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar","retain family and resolve form only with explicit evidence"
"салат корн","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"салат латук","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"салат оливье","1","1","1","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","салат оливье","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"салат ромен","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сахар 2 фунта 0","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сахар песок","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сахар по желанию","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сахарная пудра","1","1","1","0","0","0","1","0","0","PROCESS_INPUT","сахарная пудра","process ingredient remains in accounting","none"
"сахарный песок","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сацебели","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свежая зелень","1","0","0","0","0","0","1","0","0","PROCESS_INPUT","зелень","process ingredient remains in accounting","none"
"свежая мята","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свежая мята по вкусу","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свежевыжатый лимонный сок","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свежевыжатый морковный сок","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свежие листья орегано","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свежие очищенные устрицы","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свежие шампиньоны","1","0","0","0","0","1","0","0","0","PRODUCT_FAMILY_RESOLVED","шампиньоны","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"свежий желтый перец","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свежий розмарин","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"светлый изюм","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свиная голяшка рулька","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свиная корейка","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свиная котлета на кости","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свинина мякоть","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свиной фарш","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"свиные копченые ребра","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сезонные сырые овощи сельдерей цветная и краснокочанная капуста морковь эндивий помидоры болгарский перец огурцы также яйца вкрутую.","1","0","0","0","0","0","0","0","0","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound","retain family and resolve form only with explicit evidence"
"сейтан","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"семена кориандра","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"семена кумина зира","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"слабосоленый лосось","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сладкий красный лук","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сладкий соус чили","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливки 10% ные","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливки 20% ные","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливки 30% ные","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливки 33% ные","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливки 35% ные","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливки жирностью 10%","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливки жирностью 15%","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливки жирностью 20%","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливки жирностью 33%","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливки жирные","1","1","1","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливочное масло для подачи","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливочное масло размягченное","1","0","0","0","0","0","0","0","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сливы","1","1","1","1","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","слива","exact accepted form-specific product","none"
