normalizedIngredient,occurrences,sourceCount,resolutionState,candidateFamily,reason
"тигровые креветки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"тимьян по вкусу","1","1","PRODUCT_FAMILY_RESOLVED","тимьян","generic identity resolved without arbitrary variant selection"
"томат паста","1","2","PRODUCT_MISSING","","no accepted product or family evidence"
"томат паста 1 упаковка","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"томатная паста 1 ст. ложка","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"томатная паста 25%","1","1","PRODUCT_FAMILY_RESOLVED","томатная паста","generic identity resolved without arbitrary variant selection"
"томатный соус с чили по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"топленое масло","1","1","EXACT_PRODUCT","топленое масло","exact canonical product"
"тортильи","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"тосты","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"тофу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"травы итальянские сухие","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"травы итальянские сушеные","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"тростниковый сахар","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"тушки кальмар а","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"тушки кальмар ов","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"тыквенное пюре","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"тыквенные семечки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"укроп по вкусу","1","1","PRODUCT_FAMILY_RESOLVED","укроп","generic identity resolved without arbitrary variant selection"
"укроп сухой","1","1","PRODUCT_FAMILY_RESOLVED","укроп","corpus-backed identity family; concrete product selection remains pending"
"укроп сушеный","1","1","FORM_EXPLICIT_PRODUCT","укроп","exact accepted form-specific product"
"уксус любой","1","1","PROCESS_INPUT","уксус любой","process ingredient remains in accounting"
"уксус персиковый","1","1","PROCESS_INPUT","уксус персиковый","process ingredient remains in accounting"
"уцхо сунели","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"фарш из филе","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"фарш индейки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"фарш свиной или говяжий","1","1","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar"
"фарш смешанный","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"фасоль консервированная красная","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"фасоль стручковая","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"филе анчоусов соленое","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"филе грудки индейки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"филе индейки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"филе куриного бедра","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"филе куриное","1","1","PRODUCT_FAMILY_RESOLVED","филе","corpus-backed identity family; concrete product selection remains pending"
"филе минтая","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"филе морской белой рыбы пангасиус","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"филе рыбное","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"филе рыбы минтай","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"филе свинины","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"филе сибаса","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"филе хека","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"французский багет","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"фундук","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"фунчоза","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"хвосты креветок","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"хек","1","2","EXACT_PRODUCT","хек","exact canonical product"
"хек можно взять другую морскую рыбу или филе рыбы","1","0","ALTERNATIVE_INGREDIENT_LINE","","deterministic alternative grammar"
"хлеб","1","1","PRODUCT_FAMILY_RESOLVED","хлеб","corpus-backed identity family; concrete product selection remains pending"
"хлеб для тостов","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"хлеб по вкусу","1","1","PRODUCT_FAMILY_RESOLVED","хлеб","corpus-backed identity family; concrete product selection remains pending"
"хмели сунели по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"хурма","1","1","EXACT_PRODUCT","хурма","exact canonical product"
"цедра апельсина","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"цесарка","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"цукини","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"цыпленок корнишон","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"черемша","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"черный кофе","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"черный хлеб","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"черствый ржаной хлеб","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"чеснок зелень","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"чеснок по вкусу","1","1","EXACT_PRODUCT","чеснок","exact canonical product"
"чеснок сухой","1","1","PRODUCT_FAMILY_RESOLVED","чеснок","generic identity resolved without arbitrary variant selection"
"чеснок сушеный","1","1","FORM_EXPLICIT_PRODUCT","чеснок","exact accepted form-specific product"
"чечевица","1","1","PRODUCT_FAMILY_RESOLVED","чечевица","generic identity resolved without arbitrary variant selection"
"чечевица любая","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"чили серрано","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"шафран","1","1","EXACT_PRODUCT","шафран","exact canonical product"
"шафран щепотка","1","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"шпик","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"щавель","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"ягодный сок","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"ягоды годжи","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"яичная лапша","1","1","PRODUCT_FAMILY_RESOLVED","яичная лапша","generic identity resolved without arbitrary variant selection"
"яйца 2 шт","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"яйца крупные","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"яйцо небольшое","1","0","PRODUCT_MISSING","","no accepted product or family evidence"
"яйцо с1","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"яйцо цесарки","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
"tabasco по вкусу","1","1","PRODUCT_MISSING","","no accepted product or family evidence"
